,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Gender,Married,Dependents,Education,Self_Employed,Credit_History,Property_Area,Predicted
0,5720.0,0.0,110.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
1,3076.0,1500.0,126.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
2,5000.0,1800.0,208.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
3,2340.0,2546.0,100.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
4,3276.0,0.0,78.0,360.0,Male,No,0,Not Graduate,No,1.0,Urban,0
5,2165.0,3422.0,152.0,360.0,Male,Yes,0,Not Graduate,Yes,1.0,Urban,0
6,2226.0,0.0,59.0,360.0,Female,No,1,Not Graduate,No,1.0,Semiurban,0
7,3881.0,0.0,147.0,360.0,Male,Yes,2,Not Graduate,No,0.0,Rural,1
8,13633.0,0.0,280.0,240.0,Male,Yes,2,Graduate,No,1.0,Urban,0
9,2400.0,2400.0,123.0,360.0,Male,No,0,Not Graduate,No,1.0,Semiurban,0
10,3091.0,0.0,90.0,360.0,Male,No,0,Not Graduate,No,1.0,Urban,0
11,2185.0,1516.0,162.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
12,4166.0,0.0,40.0,180.0,Male,No,3+,Graduate,No,1.0,Urban,0
13,12173.0,0.0,166.0,360.0,Male,Yes,2,Graduate,No,0.0,Semiurban,1
14,4666.0,0.0,124.0,360.0,Female,No,0,Graduate,No,1.0,Semiurban,0
15,5667.0,0.0,131.0,360.0,Male,No,1,Graduate,No,1.0,Urban,0
16,4583.0,2916.0,200.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
17,3786.0,333.0,126.0,360.0,Male,Yes,3+,Graduate,No,1.0,Semiurban,0
18,9226.0,7916.0,300.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
19,1300.0,3470.0,100.0,180.0,Male,No,0,Graduate,No,1.0,Semiurban,0
20,1888.0,1620.0,48.0,360.0,Male,Yes,1,Not Graduate,No,1.0,Urban,0
21,2083.0,0.0,28.0,180.0,Female,No,3+,Not Graduate,No,1.0,Urban,0
22,3909.0,0.0,101.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
23,3765.0,0.0,125.0,360.0,Female,No,0,Not Graduate,No,1.0,Urban,0
24,5400.0,4380.0,290.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
25,0.0,24000.0,148.0,360.0,Male,No,0,Graduate,No,0.0,Rural,1
26,4363.0,1250.0,140.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
27,7500.0,3750.0,275.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
28,3772.0,833.0,57.0,360.0,Male,Yes,0,Graduate,No,1.0,Semiurban,0
29,2942.0,2382.0,125.0,180.0,Male,No,0,Graduate,No,1.0,Urban,0
30,2478.0,0.0,75.0,360.0,Female,No,0,Not Graduate,No,1.0,Semiurban,0
31,6250.0,820.0,192.0,360.0,Male,Yes,2,Graduate,No,1.0,Urban,0
32,3268.0,1683.0,152.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
33,2783.0,2708.0,158.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
34,2740.0,1541.0,101.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
35,3150.0,0.0,176.0,360.0,Male,No,0,Graduate,No,0.0,Semiurban,1
36,7350.0,4029.0,185.0,180.0,Male,Yes,2,Graduate,No,1.0,Urban,0
37,2267.0,2792.0,90.0,360.0,Male,Yes,0,Graduate,Yes,1.0,Urban,0
38,5833.0,0.0,116.0,360.0,Male,No,0,Graduate,Yes,1.0,Urban,0
39,3643.0,1963.0,138.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
40,5629.0,818.0,100.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
41,3644.0,0.0,110.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
42,1750.0,2024.0,90.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Semiurban,0
43,6500.0,2600.0,200.0,360.0,Male,No,0,Graduate,No,1.0,Semiurban,0
44,3666.0,0.0,84.0,360.0,Female,No,0,Graduate,No,1.0,Urban,0
45,4260.0,3900.0,185.0,360.0,Male,Yes,0,Graduate,No,1.0,Urban,0
46,4163.0,1475.0,162.0,360.0,Male,Yes,0,Not Graduate,No,1.0,Urban,0
47,2356.0,1902.0,108.0,360.0,Male,No,0,Not Graduate,No,1.0,Semiurban,0
48,6792.0,3338.0,187.0,360.0,Male,No,0,Graduate,No,1.0,Urban,0
49,8000.0,250.0,187.0,360.0,Male,Yes,3+,Not Graduate,Yes,1.0,Semiurban,0
50,2419.0,1707.0,124.0,360.0,Male,Yes,1,Graduate,No,1.0,Urban,0
51,3500.0,833.0,120.0,360.0,Male,Yes,3+,Not Graduate,No,1.0,Semiurban,0
52,3500.0,3077.0,160.0,360.0,Male,Yes,1,Graduate,No,1.0,Semiurban,0
